[15:44:10 SYSTEM                  ] Tempest Server Started.
[15:44:33 SYSTEM                  ] 127.0.0.1 connected to server.
[15:44:35 127.0.0.1 LOGIN         ] (VOID)  'genevieve
[15:44:38 127.0.0.1 LOGIN         ] (VOID) Genevieve
[15:44:39 127.0.0.1 LOGIN         ] (VOID) genna
[15:44:39 127.0.0.1 Genevieve     ] (1507) Entered the world.
[15:44:40 127.0.0.1 Genevieve     ] (1507) l
[15:44:43 127.0.0.1 Genevieve     ] (1507) goto desideria
[15:44:44 127.0.0.1 Genevieve     ] (1528) l
[15:44:45 127.0.0.1 Genevieve     ] (1528) s
[15:44:45 127.0.0.1 Genevieve     ] (1555) n
[15:44:46 127.0.0.1 Genevieve     ] (1528) w
[15:44:50 127.0.0.1 Genevieve     ] (1527) e
[15:44:52 127.0.0.1 Genevieve     ] (1528) l desi
[15:44:54 127.0.0.1 Genevieve     ] (1528) l desideria
[15:44:57 127.0.0.1 Genevieve     ] (1528) goto orchid
[15:44:58 127.0.0.1 Genevieve     ] (1563) l orchid
[15:44:59 127.0.0.1 Genevieve     ] (1563) l
[15:45:1 127.0.0.1 Genevieve      ] (1563) goto 1
[15:45:2 127.0.0.1 Genevieve      ] (1563) goto 100
[15:45:3 127.0.0.1 Genevieve      ] (100) w
[15:45:4 127.0.0.1 Genevieve      ] (3000) n
[15:45:7 127.0.0.1 Genevieve      ] (3001) n
[15:45:8 127.0.0.1 Genevieve      ] (3004) s
[15:45:32 127.0.0.1 Genevieve     ] (3001) s
[15:45:33 127.0.0.1 Genevieve     ] (3000) w
[15:45:35 127.0.0.1 Genevieve     ] (3030) n
[15:46:24 127.0.0.1 Genevieve     ] (1500) goto desideria
[15:46:28 127.0.0.1 Genevieve     ] (1528) l elite
[15:47:4 127.0.0.1 Genevieve      ] (1528) l
[15:47:9 127.0.0.1 Genevieve      ] (1528) mlist all
[15:47:25 127.0.0.1 Genevieve     ] (1528) goto cloaked
[15:47:30 127.0.0.1 Genevieve     ] (1577) l cloaked
[15:48:10 127.0.0.1 Genevieve     ] (1577) l
[15:53:32 127.0.0.1 Genevieve     ] (1577) 
[15:53:32 127.0.0.1 Genevieve     ] (1577) 
[15:53:33 127.0.0.1 Genevieve     ] (1577) l shayde
[15:53:44 127.0.0.1 Genevieve     ] (1577) 
[15:53:44 127.0.0.1 Genevieve     ] (1577) 
[16:0:32 127.0.0.1 Genevieve      ] (1577) l
[16:0:34 127.0.0.1 Genevieve      ] (1577) l shayde
[16:3:13 127.0.0.1 Genevieve      ] (1577) say shayde list
[16:5:43 127.0.0.1 Genevieve      ] (1577) l
[16:5:45 127.0.0.1 Genevieve      ] (1577) e
[16:5:46 127.0.0.1 Genevieve      ] (1586) n
[16:5:46 127.0.0.1 Genevieve      ] (1585) e
[16:5:51 127.0.0.1 Genevieve      ] (1585) n
[16:5:52 127.0.0.1 Genevieve      ] (1584) n
[16:5:53 127.0.0.1 Genevieve      ] (1582) w
[16:5:53 127.0.0.1 Genevieve      ] (1583) w
[16:5:53 127.0.0.1 Genevieve      ] (1583) n
[16:5:55 127.0.0.1 Genevieve      ] (1580) mlist all
[16:6:5 127.0.0.1 Genevieve       ] (1580) ilist all
[16:6:35 127.0.0.1 Genevieve      ] (1580) eq
[16:6:37 127.0.0.1 Genevieve      ] (1580) inv
[16:7:28 127.0.0.1 Genevieve      ] (1580) iedit scheherazade
[16:7:30 127.0.0.1 Genevieve      ] (1580) iedit
[16:7:35 127.0.0.1 Genevieve      ] (1580) inv
[16:7:39 127.0.0.1 Genevieve      ] (1580) save
[16:7:40 127.0.0.1 Genevieve      ] (1580) quit
[16:7:40 SYSTEM                   ] 127.0.0.1 Genevieve quit the game.
