[13:6:32 SYSTEM                   ] Tempest Server Started.
[13:53:10 SYSTEM                  ] 24.55.248.63 connected to server.
[13:53:47 24.55.248.63 LOGIN      ] (VOID) Aeron
[13:53:49 24.55.248.63 CREATION   ] (VOID) y
[13:54:6 24.55.248.63 CREATION    ] (VOID) pepsi
[13:54:11 24.55.248.63 CREATION   ] (VOID) y
[13:54:14 24.55.248.63 CREATION   ] (VOID) m
[13:54:40 24.55.248.63 CREATION   ] (VOID) th
[13:54:48 24.55.248.63 CREATION   ] (VOID) 3
[13:54:48 24.55.248.63 Aeron      ] (100) Entered the world.
[13:55:0 24.55.248.63 Aeron       ] (100) read board
[13:55:1 24.55.248.63 Aeron       ] (100) sc
[13:55:4 24.55.248.63 Aeron       ] (100) sc
[13:55:4 24.55.248.63 Aeron       ] (100) 
[13:55:6 24.55.248.63 Aeron       ] (100) score
[13:55:7 24.55.248.63 Aeron       ] (100) st
[13:55:16 24.55.248.63 Aeron      ] (100) l
[13:55:18 24.55.248.63 Aeron      ] (100) eq
[13:55:21 24.55.248.63 Aeron      ] (100) drink fountain
[13:55:23 24.55.248.63 Aeron      ] (100) l
[13:55:26 24.55.248.63 Aeron      ] (100) ex
[13:55:27 24.55.248.63 Aeron      ] (100) l
[13:55:30 24.55.248.63 Aeron      ] (100) e
[13:55:38 24.55.248.63 Aeron      ] (1000) l note
[13:55:47 24.55.248.63 Aeron      ] (1000) s
[13:55:50 24.55.248.63 Aeron      ] (1051) n
[13:55:51 24.55.248.63 Aeron      ] (1000) s
[13:55:55 24.55.248.63 Aeron      ] (1051) e
[13:55:59 24.55.248.63 Aeron      ] (1001) con guard
[13:56:0 24.55.248.63 Aeron       ] (1001) n
[13:56:3 24.55.248.63 Aeron       ] (1045) li
[13:56:11 24.55.248.63 Aeron      ] (1045) who
[13:56:14 24.55.248.63 Aeron      ] (1045) s
[13:56:19 24.55.248.63 Aeron      ] (1001) title the Beast
[13:56:21 24.55.248.63 Aeron      ] (1001) l
[13:56:24 24.55.248.63 Aeron      ] (1001) s
[13:56:30 24.55.248.63 Aeron      ] (1046) exam keelan
[13:56:31 24.55.248.63 Aeron      ] (1046) n
[13:56:32 24.55.248.63 Aeron      ] (1001) exam
[13:56:33 24.55.248.63 Aeron      ] (1001) e
[13:56:34 24.55.248.63 Aeron      ] (1002) n
[13:56:36 24.55.248.63 Aeron      ] (1047) li
[13:56:39 24.55.248.63 Aeron      ] (1047) prac
[13:56:41 24.55.248.63 Aeron      ] (1047) help
[13:56:43 24.55.248.63 Aeron      ] (1047) u
[13:56:45 24.55.248.63 Aeron      ] (1052) d
[13:56:45 24.55.248.63 Aeron      ] (1047) s
[13:56:46 24.55.248.63 Aeron      ] (1002) e
[13:56:47 24.55.248.63 Aeron      ] (1003) e
[13:56:48 24.55.248.63 Aeron      ] (1004) e
[13:56:49 24.55.248.63 Aeron      ] (1005) e
[13:56:50 24.55.248.63 Aeron      ] (1043) n
[13:56:50 24.55.248.63 Aeron      ] (1044) n
